2023-08-01T08:16:39.181+00:00	4114,870	3000,000	Some(1114.87)	Some(59)
2023-08-01T08:16:45.207+00:00	2077,565	3000,000	Some(-922.435)	Some(6)
2023-08-01T08:16:53.244+00:00	3880,277	3000,000	Some(880.277)	Some(8)
2023-08-01T08:17:12.337+00:00	3016,990	3000,000	Some(16.990000000000236)	Some(19)
2023-08-01T08:17:13.340+00:00	3814,678	3000,000	Some(814.6779999999999)	Some(1)
2023-08-01T08:17:19.369+00:00	2014,778	3000,000	Some(-985.222)	Some(6)
2023-08-01T08:17:22.382+00:00	3221,808	3000,000	Some(221.808)	Some(3)
2023-08-01T08:18:09.104+00:00	2997,831	3000,000	Some(-2.168999999999869)	Some(46)
2023-08-01T08:18:32.214+00:00	3099,100	3000,000	Some(99.09999999999991)	Some(23)
2023-08-01T08:18:45.278+00:00	2951,819	3000,000	Some(-48.18100000000004)	Some(13)
2023-08-01T08:18:54.324+00:00	3510,159	3000,000	Some(510.1590000000001)	Some(9)
2023-08-01T08:18:58.343+00:00	1600,280	3000,000	Some(-1399.72)	Some(4)
2023-08-01T08:19:03.368+00:00	3325,900	3000,000	Some(325.9000000000001)	Some(5)
2023-08-01T08:20:30.289+00:00	2903,983	3000,000	Some(-96.01699999999983)	Some(86)
2023-08-01T08:20:36.317+00:00	3184,650	3000,000	Some(184.6500000000001)	Some(6)
2023-08-01T08:21:05.454+00:00	2911,962	3000,000	Some(-88.03800000000001)	Some(29)
2023-08-01T08:21:11.481+00:00	3540,222	3000,000	Some(540.2220000000002)	Some(6)
2023-08-01T08:21:28.064+00:00	2433,411	3000,000	Some(-566.5889999999999)	Some(16)
2023-08-01T08:21:35.097+00:00	3086,071	3000,000	Some(86.07099999999991)	Some(7)
2023-08-01T08:22:46.433+00:00	2667,175	3000,000	Some(-332.8249999999998)	Some(71)
2023-08-01T08:22:52.462+00:00	4276,160	3000,000	Some(1276.1599999999999)	Some(6)
2023-08-01T08:22:59.495+00:00	1708,872	3000,000	Some(-1291.128)	Some(7)
2023-08-01T08:23:16.074+00:00	3237,085	3000,000	Some(237.08500000000004)	Some(16)
2023-08-01T08:23:17.079+00:00	2482,240	3000,000	Some(-517.7599999999998)	Some(1)
2023-08-01T08:23:44.217+00:00	3318,571	3000,000	Some(318.5709999999999)	Some(27)
2023-08-01T08:23:46.224+00:00	1160,949	3000,000	Some(-1839.051)	Some(2)
2023-08-01T08:23:59.289+00:00	3202,945	3000,000	Some(202.94500000000016)	Some(13)
2023-08-01T08:24:00.296+00:00	1919,399	3000,000	Some(-1080.6009999999999)	Some(1)
2023-08-01T08:24:05.319+00:00	3802,945	3000,000	Some(802.9450000000002)	Some(5)
2023-08-01T08:24:11.348+00:00	2924,327	3000,000	Some(-75.67299999999977)	Some(6)
2023-08-01T08:24:43.007+00:00	3330,038	3000,000	Some(330.038)	Some(31)
2023-08-01T08:24:46.021+00:00	2594,202	3000,000	Some(-405.7979999999998)	Some(3)
2023-08-01T08:24:47.025+00:00	3302,155	3000,000	Some(302.1550000000002)	Some(1)
2023-08-01T08:25:17.170+00:00	2675,804	3000,000	Some(-324.1959999999999)	Some(30)
2023-08-01T08:25:21.189+00:00	3366,208	3000,000	Some(366.2080000000001)	Some(4)
2023-08-01T08:26:05.401+00:00	2238,673	3000,000	Some(-761.3269999999998)	Some(44)
2023-08-01T08:26:09.423+00:00	4309,621	3000,000	Some(1309.621)	Some(4)
2023-08-01T08:26:48.107+00:00	1969,104	3000,000	Some(-1030.896)	Some(38)
2023-08-01T08:26:56.144+00:00	4774,465	3000,000	Some(1774.4650000000001)	Some(8)
2023-08-01T08:28:05.472+00:00	3021,567	3000,000	Some(21.567000000000007)	Some(69)
2023-08-01T08:28:06.476+00:00	3245,934	3000,000	Some(245.9340000000002)	Some(1)
2023-08-01T08:28:15.016+00:00	2418,762	3000,000	Some(-581.2379999999998)	Some(8)
2023-08-01T08:28:19.036+00:00	3324,921	3000,000	Some(324.9210000000003)	Some(4)
2023-08-01T08:28:20.040+00:00	2562,924	3000,000	Some(-437.076)	Some(1)
2023-08-01T08:28:23.056+00:00	3322,355	3000,000	Some(322.355)	Some(3)
2023-08-01T08:28:52.193+00:00	1983,557	3000,000	Some(-1016.443)	Some(29)
